2025-11-01 19:07:11,489 - INFO - Starting fetch for project: HADOOP
2025-11-01 19:10:49,632 - INFO - Starting fetch for project: HADOOP
2025-11-01 19:10:52,313 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:10:55,907 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:10:58,986 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:02,008 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:04,885 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:07,691 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:10,504 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:13,324 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:16,132 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:18,941 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:21,750 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:24,570 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:27,379 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:30,188 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:33,005 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:35,809 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:38,610 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:41,417 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:44,227 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:47,050 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:49,871 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:52,679 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:55,505 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:11:58,311 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:01,159 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:04,004 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:06,841 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:09,656 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:12,913 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:14,973 - ERROR - Request failed (attempt 1/5): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-11-01 19:12:18,549 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:21,742 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
2025-11-01 19:12:24,942 - ERROR - Error fetching HADOOP at 0: expected str, bytes or os.PathLike object, not dict
